,video_id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1869,tW0p9ZGb9sc,12663,357,28,0,57
1870,IcmGl3txeaM,84878,2878,105,0,275
1871,zHX7yYCf1zs,784543,13443,321,0,695
1872,sMDQOWHSIhs,1741499,28086,324,0,1457
1873,wmDhT1QV0jM,76255,2077,67,0,40
1874,-DJd9mtmPZI,94748,2891,54,0,189
1875,UWKJcUHj_Dw,46933,1183,25,0,114
1876,ALrw2tKYQNQ,827436,14641,371,0,1418
1877,8m4JbcYa0lQ,103593,3039,39,0,462
1878,IZIp18KgJx4,161389,4889,90,0,119
1879,qJovlJyiSe4,420746,4663,100,0,655
1880,pwg9MC8YdXo,132488,3941,98,0,346
1881,aaTqdwTGR2o,116052,3130,327,0,424
1882,-3cFeHTf6mM,620657,13490,412,0,517
1883,nc6LfKRukpI,7888,225,14,0,66
1884,UDa5VueLawU,166567,3381,102,0,274
1885,b-sAX8jbRiM,1856,49,3,0,14
1886,NOhm_A58yRg,2374,135,7,0,21
1887,3YB8QWbdHvw,754586,16109,620,0,1147
1888,9QA6AxdWtM0,562732,16508,493,0,604
1889,sXO_ckIE0XU,42693,1771,49,0,73
1890,cBBDdbWU-w8,360,8,1,0,5
1891,bYFvOJ_OgF0,95862,5737,99,0,696
1892,XfNzi95Yufo,15382,451,7,0,56
1893,hT_FO2TORt0,147,0,0,0,0
1894,k4nh5_8ddA4,2719,83,6,0,19
1895,1S5NkOibGPI,240,0,11,0,0
1896,ftUhVMwmcK4,77,0,3,0,0
1897,9bQ4jdn0tdA,960,17,1,0,1
1898,XQnmY5ljSuc,91322,0,0,0,62
1899,R6QcYXBuD4k,16436,347,24,0,8
1900,c-hi7aTjCMQ,6850,922,2,0,63
1901,-UnVjlo6pV0,3771,115,2,0,48
1902,ZdCyoApof0Y,819826,17536,515,0,2068
1903,HxvjEKptZsc,19491,223,11,0,56
1904,Mrw4MPSrHS8,10024,182,5,0,10
1905,4FeIEn43XAQ,1155294,13632,373,0,1474
1906,6SJG5ut763o,399217,11005,267,0,3254
1907,4I1UQ6UKmUY,19632,886,23,0,229
1908,C3oPol4Czps,51311,1861,95,0,499
1909,8RV7tF8sMt8,150801,1409,41,0,164
1910,5JhxRFMM0hQ,83652,2100,55,0,521
1911,sJ5xQWDEJSY,23231,631,14,0,69
1912,GRJEt9Fdb9M,144089,3977,92,0,334
1913,N6T-lqd1fF0,45914,2063,50,0,99
1914,Mo7-E9XPVps,361174,6159,159,0,644
1915,bxDngrpar5o,123633,3308,75,0,242
1916,FDbx1HZI0jU,112185,3773,123,0,259
1917,G_VTSFr0Nkk,188931,2842,116,0,230
1918,cXww92SyGO0,296936,5174,123,0,740
1919,UbzlYYZiRUU,536655,10970,228,0,204
1920,8_1cEYDvMbU,504,7,8,0,0
1921,cfcWf1V4kZQ,11623,378,14,0,18
1922,5crMKu_3sb4,88966,2431,60,0,265
1923,ROEKcfWrUus,374868,7171,298,0,405
1924,JBh326s70wc,130224,2954,94,0,222
1925,SQtNqYE1hXI,55579,2246,81,0,271
1926,M41PIDb5K-0,691898,10640,735,0,993
1927,YahBM4yUcBg,337524,11035,243,0,446
1928,FzxqX6rRMTk,392644,3785,181,0,789
1929,RvKgBYjBvl8,39865,1608,28,0,101
1930,nw-A44docI8,171899,4217,117,0,1649
1931,uQ8521MgAyU,192332,4425,115,0,400
1932,vkIg_P2GUwA,27067,1197,52,0,114
1933,gvrqnykXScs,105730,1777,51,0,261
1934,B8hGdhMPRZk,301964,7634,176,0,521
1935,QtIhLW8gjGo,520632,7001,128,0,834
1936,i0icXq8gnAY,276579,6846,174,0,946
1937,ue5YJiOsnD0,813674,15045,136,0,1062
1938,4IKoVWYrVHs,411150,8632,257,0,1289
1939,8I_6hpDdWh8,671826,9223,380,0,343
1940,JJS6wmBnyVs,26545,681,22,0,178
1941,nA2hYRXDW8E,37487,1749,36,0,133
1942,-mD6zbVluLw,39004,1602,22,0,159
1943,fnsniHN2Lao,511589,11706,1649,0,2104
1944,kXoBPOtvxBw,490,12,1,0,3
1945,Aoz49QAi8CA,81498,2893,57,0,230
1946,bO7sn9POTyI,428568,5711,180,0,1510
1947,ZP9B5uoEfIg,131710,3583,82,0,146
1948,SUOENnxVbwE,2700,56,8,0,17
1949,zRCt-NVFtBY,118191,3018,56,0,113
1950,OD9UgQ5PwgY,2216,49,3,0,3
1951,99UWmrdg9XY,254319,6744,120,0,734
1952,3VRO1-OGlxU,65933,1263,52,0,107
1953,XArjCIaZ27A,985103,22094,625,0,1172
1954,euvwvQh2JkU,774671,17708,544,0,2201
1955,rkIbewV1U-I,15178,1302,12,0,128
1956,1IgJ0uxYbJQ,399649,9218,216,0,749
1957,1FA1Wjpy7Iw,590669,14688,94,0,523
1958,wMhMEqSTUWc,58146,971,34,0,86
1959,0hJ1KyNCiqk,149766,3738,92,0,442
1960,PmEG1vTfJWs,92327,2478,58,0,317
1961,80YCJVuEzTg,228559,4055,105,0,227
1962,f8KR8gay5Dg,108345,5003,36,0,259
1963,P7O2RgZS2i0,22229,569,13,0,87
1964,VwULe5RPkzw,141366,3369,77,0,287
1965,us0mh-cVwzA,323952,6112,208,0,416
1966,KyST2FpPOFU,179959,4096,84,0,473
1967,-EoWXPIuz1A,222141,4948,73,0,152
1968,P69qEYmTsGk,1310606,23469,708,0,830
1969,KOQwESRYKRA,117831,3242,87,0,821
1970,m6A99I6KaFU,148812,3732,82,0,334
1971,1yvQn4zX3lw,136255,4403,94,0,277
1972,-ibecf6IBwI,18429,1253,3,0,108
1973,qyuiYA4Wixc,1254345,26587,860,0,1299
1974,key4dvJ-74o,53624,1066,23,0,78
1975,T2TrCJeCwVI,115122,3200,79,0,217
1976,BE1gbcVKCZE,648719,7732,311,0,237
1977,wOtSoudqdm0,99704,3722,91,0,436
1978,b0muNcPCEgE,317944,6775,135,0,559
1979,jlBTFbttydo,186493,3626,113,0,147
1980,YMAs3auyxRE,75408,1734,64,0,479
1981,qIvQCtRZ0o8,71892,2394,53,0,73
1982,M0_fA4-mam8,54199,1992,11,0,97
1983,O179cj4A3Po,134942,3034,66,0,200
