,title,video_id,channel_title,channel_id,description,date
47,손흥민 군대 해외반응 │러시아반응│한국 군대가 이렇게 빡세? ㄷㄷㄷ│걱정 한가득│성공복귀 기원!!,aemqi08-bLs,치슬라TB_푸드볼,UCXUGPZD1JMSuC6iATujJoug,,2020-07-05T04:33:31Z
48,📢[충격적 한국반응] &#39;누구 때문에 일본 국민들은 🔥피눈물 난다!&#39; #일본#아베#도쿄,X-77oRMGy5s,서툰TV,UCcweYi1n6_Ams6Ioao5nadA,"현재 일본 도쿄에서 C19 신규환자가 하루 100명이 이상 발생하고 있다고 합니다. 1일 일본 전국에선 도쿄도 67명, 사이타마현 14명, 오사카부 10명, 가나가와현 6명 ...",2020-07-02T21:00:17Z
49,나라별 금지곡 리뷰! K-POP 듣다 정신줄 놓아버린 외국인들 어떡하죠;; (feat. 이 노래 웃기지) / 별다리 외사친 [ENG/SPA SUB],zNmFEEQRCKU,별다리 유니버스,UCIuteB_3eGG7s_WvPYeZcOg,최초 공개※ 수능 금지곡 들으며 문제 풀어 본 외국인들! '소주 한 잔'으로 레알 하나된 외국인들! 만취 금지곡부터 해석 금지곡까지 한국 노래 찢.어.버.렸.다.;; ...,2020-07-02T08:00:35Z
50,해외 반응 엄청난 한국 스타일 빙수의 위엄 #네티즌반응,DY_2qcMFDWA,뉴스킹,UClOg34aPlf3GWZZ6ojt0WYQ,한국 #해외반응 #네티즌반응 세계를 휩쓸고 있는 한국 스타일 빙수의 위엄 #네티즌반응 구독을 누르면 더 많은 영상을 볼 수 있어요--------https://bit.ly/2B0Cj3x.,2020-07-14T01:14:14Z
51,"변호인 해외반응, 한국에는 이런 대통령이? 실화기반",qroBOoG0-2I,하이채드 Hi Chad,UCY7grSEoAYdkcVpzc3-zUxw,70% 절약 + 1 개월 무료! https://nordvpn.com/hichad 프로모코드: hichad 채드와 채드의 여동생 머라이아가 한국 영화 변호인을 같이 봅니다! 머라이아와 오랜만에 ...,2020-07-09T07:08:10Z
52,한국 레전드 가수 &#39;나훈아&#39;를 보고 충격받은 외국 할머니 반응 (ft.홍시),18gMg1H4f4M,BODA 보다,UCoCvTlU0KpNYwnMIgs7MPrA,나훈아 #트로트 #외국인반응 오늘은 영국/프랑스에서 오신 외국 할머니가 한국의 레전드 가수 나훈아를 봤는데요 여러분도 캐런 할머니랑 같이 심쿵하셨나요?,2020-07-09T09:11:27Z
53,한국의 수박화채를 처음 먹어본 외국인 반응,U2bhTWrrZbY,CLAB,UC9nLq3rvvi_6J3teWiGCDlA,안녕하세요 오늘은 이란에서 오신 가잘씨가 한국의 여름 별미인 수박화채를 먹어보는 시간을 가졌는데요 과연 가잘씨는 처음보는 수박화채가 입맛에 잘 맞았을까요?,2020-07-08T09:57:22Z
54,해외 반응 뜨거워 수출전용으로 만들어진 한국 제품들,m3JY-pfgz8k,뉴스킹,UClOg34aPlf3GWZZ6ojt0WYQ,한국제품 #해외반응 한국에서는 판매하지 않는 해외 수출전용 제품들 구독을 누르면 더 많은 영상을 볼 수 있어요--------https://bit.ly/2B0Cj3x.,2020-07-08T06:31:21Z
55,한국 미용실에서 충격받은 외국인 반응,w_OkF86-3Wg,독일 한국 베이비 '독한새끼 ',UC-8MwFF1t-gk1w5jl6U8h5g,미독남 #준오헤어 #이벤트 안녕하세요 오늘은 한국 미용실 준오헤어왔습니다 사실은 제가 아는 지인인데 미독남 채널을 너무 좋아해주셔서 특별히 이벤트를 한다고 ...,2020-07-11T09:00:15Z
56,"한국에서 온 어피치 선물 미국아기 반응, 미국생활vlog /국제커플/미국 일상 브이로그/외국에서 살기/외국 브이로그, 미국엄마와 아기/ 미국인와이프 한미국제커플 한국아빠미국엄마",cBqj2rmq8Sg,이사벨아빠 Isabelle Daddy,UC912Q30VlIig5POHn1caiYg,미국생활vlog#한국아빠미국엄마#외국인와이프 안녕하세요 대구에서 태어나 어쩌다보니 미국에 살고 있는 이사벨 아빠입니다. 한국에 살고 있는 이사벨 고모가 선물 ...,2020-07-13T05:00:05Z
