,title,video_id,date
119,[해외반응] 잘사는 유럽학생들이 한국으로 몰려오고 있는 이유 &#39;성공하기 위해선 한국을 배워야할 때&#39;,QFoIlXjAb4s,<class 'datetime.date'>
120,[해외반응] 한국의 김치가 코로나를 예방한다? 연구결과 해외 네티즌 반응 &#39;김치를 먹으면 초능력자가 되겠네&#39;,HbtWf-2yKqM,<class 'datetime.date'>
121,한국은 싫지만 일본인들을매일 울게 만드는 상황해외반응 – 일본일본열도가 현빈 앓이중이것이 진정한 한류다.,eoCY-9sfT-M,<class 'datetime.date'>
122,한국 남자들의 메이크업에 대한 러시아 여자의 반응은?,8_wkLmdLQz4,<class 'datetime.date'>
123,"[대만] 야 한국,  너 우리랑 같은 레벨이잖아?! 해외네티즌이 대신 교통정리하는 상황, 아시아 4마리 용 라이벌이죠! 해외 반응",4d0L8F9MJOw,<class 'datetime.date'>
124,해외반응 일본반응 한국 최초의 군사 통신위성 아나시스 2호 발사 성공 ! 놀라운 기적 ! 발전하는 선진국 한국군,aAfzvHqk7uM,<class 'datetime.date'>
125,&quot;이제 한국 밖에 없다!&quot; 한국에 희망을 걸고 나선 미국 반응과 한국으로 사무소 이전을 선택하고 있는 미국상황,2jJw8Xe8TUo,<class 'datetime.date'>
126,"[해외반응] 한국은 어떻게 &#39;최빈곤국&#39;에서, 전 세계 가장 핫한 브랜드로 발전했나? 캐나다 유명 칼럼리스트의 냉철한 분석!",i4IYHoiBG2w,<class 'datetime.date'>
127,외국인이 올린 한국의주택및 길거리영상 해외반응,q8RQFNefMlI,<class 'datetime.date'>
128,해외반응 일본반응 세계 선진국 한국의 GDP 경제 순위 러시아를 역전한 상황 ! 깜짝놀란 일본 ! 한국인의 저력 !,klfPEZ5EK1o,<class 'datetime.date'>
129,해외반응 일본반응 한국의 군사력 순위 세계 6위 깜짝놀란 일본 ! 아베가 두려워하는 이유  KFX 전투기 현무 미사일 KDDX !,Pq9BXJU6jkk,<class 'datetime.date'>
130,"[일본반응] 한국 국가경쟁력 일본 추월, UN 전자정부 평가에서 일본 압도하는 한국 위상에 발칵 뒤집어진 일본반응  전자정부 IT행정력, 국가경쟁력 모두 압도 일본 반응 코리아",X7c8uS22eA0,<class 'datetime.date'>
131,"▶[일본반응] 한국 SSD, 13년만에 세계1위 &quot;대만 제치고 수출액 220%폭증&quot;",W40zJ6SUNCs,<class 'datetime.date'>
132,"▶[일본반응] &quot;한국드라마&quot;광풍, 대박난 넷플릭스,&quot;Made in Korea에 투자해라&quot;",jIaLjnQKmVE,<class 'datetime.date'>
133,"[해외반응] 한국병원 극찬하는 미국 커뮤니티 미국인 실제사례, 엠킴의 미국병원 경험담",JrnNmLDfg68,<class 'datetime.date'>
134,[해외반응]  일본이 WTO 사무총장 출마 못하고 한국만 방해하는 부끄러운 이유//아시아에서 제일 선진국이라더니 영어를 못 한다니 믿을 수 없다...,bu3vVp2ikUo,<class 'datetime.date'>
135,🎤 첫 소절부터 소름 쫙↗ 소향(Sohyang)의 ′I Will Always Love You′♬ 〈비긴어게인 코리아(beginagainkorea)〉 6회,DO845EqU3eE,<class 'datetime.date'>
136,"[일본반응]한국 &#39;신라면&#39; 미국에서 매출 폭발, 일본제치고 라면업계 1위달성!, 일본에서도 인기 급상승중이라는 바로 그 &#39;라면&#39;",bj5-AqRR7r0,<class 'datetime.date'>
137,"[일본반응] 세계 굴지의 기업 한국행 이유 주변국 경악 한국이 이렇게까지, 일본은 이것 때문에 배제 되고 오직 한국 이어야만 한다는데  일본반응 한국 반응 일본",Yn8oMFGpCmE,<class 'datetime.date'>
138,✅ 한국인들은 끔찍하다는 막말한 트럼프  #해외반응#한국#외국인반응#일본반응#해외반응#현지반응#트럼프 #일본#외신반응#세계반응#미국#주한미군#감축#방위비#분담금#트럼프#한미연합훈련,B-Qd0pgYFfA,<class 'datetime.date'>
139,(해외반응)한국은 싫지만 KPOP은 좋다는 일본인들/ 케이팝 좋다는 댓글쓰는것도 조심스러운건가??                  #해외반응 #네티즌반응 #외국인반응,jPENTpJihcg,<class 'datetime.date'>
140,"▶[일본반응] 테슬라 최대수혜자는 한국, 中·日 제쳤다 &quot;전기차배터리 시장점유율 세계1위&quot;",x9h_k9xvhvQ,<class 'datetime.date'>
141,"[해외반응]일본칼럼에 &#39;한국멸망2020&#39;이라는 글 올라오자, 일본 판매제품 전량폐기한 기업이 있다!?",QwjSWsSno5c,<class 'datetime.date'>
142,"[베트남 현지반응] 충격통계! 공짜로 한국 국적얻는 방법 퍼지는 베트남 / 매년 600명 한국 여성이 베트남 남성과 재혼 / 해외 부동산 투자,사업,유학,여행 주의",V-HdTijDXdw,<class 'datetime.date'>
143,"도쿄, 한국처럼 오늘 당장...#일본방송#일본반응#한일자막",KB6qIuTnmas,<class 'datetime.date'>
144,[일본반응]한국 연예인 독도입성에 열폭하는 일본네티즌들의 충격적인 반응! 그들의 어이없는 역사의식 전해드립니다!,m4g8bipXuWQ,<class 'datetime.date'>
145,[해외 반응] 한국이 해냈어! K-3 슈퍼 탱크. 한국 흑표범의 예상치 못한 능력을 드러내다. 투명한 망토로 만든 투명한 탱크를 개발 하시겠습니까?,vk68XKhA5yQ,<class 'datetime.date'>
146,한국 SSD 수출량 전세계 1위 달성-일본반응,UdhLwNHJkHs,<class 'datetime.date'>
147,한국의 김치가 코로나 예방 | 해외반응,lsDmZsBJlxg,<class 'datetime.date'>
148,[한국의 반응] 현재 상황은 더 이상 참을 수 없습니다! 한국 사람들은 그것을 무시할 수 없습니다!,C5liHbGCFwE,<class 'datetime.date'>
149,🎤 말이 필요 없는 감동， 소향(Sohyang)의 ′바람의 노래′ (드라마 ′고백부부′ OST)♩ 〈비긴어게인 코리아(beginagainkorea)〉 7회,GG6ZVcnNcRM,<class 'datetime.date'>
150,필리핀 직원에게 한국 짜장면 맛을 알려 주었습니다. 반응이 ㄷㄷㄷ - 마닐라 생존기 【30】,Osd09TR0Uis,<class 'datetime.date'>
151,중국반응│한국과 일본이 전쟁을 한다면?│한국 vs 일본 전쟁을 예측하는 중국반응│예비군을 빼놓지 마라│중국어로[路],QEFbfnlO8Ac,<class 'datetime.date'>
152,"&quot;대한민국 열풍이군요!&quot; 한국의 매력에 푹빠진 미국반응과 일본반응, 그리고 한국을 그대로 말레이시아에 옮기고 나선 말레이시아 상황",xJlbWQSMRWI,<class 'datetime.date'>
153,"군침주의! 미국인들 한국 길거리음식 처음 먹고 깜놀한 반응은? 떡복이, 순대, 김밥! 음식 3대장중 1등은?? 야밤에 절대 보면 안됩니다~ 군침주의!! (먹방, 한류)",Nkjq7TSxdss,<class 'datetime.date'>
154,"[일본반응] 한국의 &#39;이 영상&#39;을 보고 진짜 충격받은 일본 연예인들, 매국이라 할지라도 인정할 수밖에",A4FbdTMpKbQ,<class 'datetime.date'>
155,파맛 첵스를 처음 먹어본 영국할머니 + 애기의 반응?!?,1CP9tDTEInY,<class 'datetime.date'>
156,일본반응 한국이 통일된다면 일본은 어떻게 되는거야? 통일한국이 두려운 아베 일본 ! 강대국 경제 군사 순위 선진국 현무4 미사일 해외반응,wErmX6xe9z4,<class 'datetime.date'>
157,"처음 바다 본 아기 반응, 미국 복층 호텔, 한국아빠 미국생활vlog/국제커플/미국 일상 브이로그/외국에서 살기/외국 브이로그,미국엄마와 아기/ 한미국제커플 한국아빠",fQKuJp2MfXQ,<class 'datetime.date'>
158,한국 지하철에만 있는 &#39;이것&#39;을 보고 놀란 프랑스미녀의 반응,hUa4TWKGXmc,<class 'datetime.date'>
